window_start,window_id,collector,innermost_core_size,rich_club_p75,rich_club_p90,rich_club_p95,symmetry_ratio,as_path_avg,as_path_max,edit_distance_avg,edit_distance_max,unique_as_path_max,flaps,nadas,vf_rate_delta,ego_filter_ratio,ego_origin_violations,std_edge_ixp_cosine_dist,unique_peers,clustering_avg_local,frac_p2p_edges,avg_ixp_cosine_dist,as_path_std,origin_changes,discovered_label,event_id,binary_label,provenance,incident_type
2016-10-21T11:10:00+00:00,20161021_1110,rrc05,17,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,4.55435847208619,11,2.087984241628365,7,24,130,587,0.006835,0.80064,0,0.240137,9,0.5112650586093368,0.2433,0.467322,1.1506068253811343,28,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:15:00+00:00,20161021_1115,rrc05,17,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,4.776334483458494,10,2.0715571557155714,7,19,148,526,0.010648,0.799114,0,0.240137,8,0.5112650586093368,0.2433,0.467322,1.2117908184048485,2,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:20:00+00:00,20161021_1120,rrc05,17,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,4.128079658605975,10,1.9782178217821784,6,18,93,7999,0.011944,0.923689,0,0.239804,8,0.5112730668031849,0.243,0.467322,0.9189367011080956,7,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:25:00+00:00,20161021_1125,rrc05,17,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,4.600338536768855,10,1.89042530902996,6,22,119,556,0.006211,0.821189,0,0.240137,8,0.5112650586093368,0.2433,0.467322,1.1222926951772418,5,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:30:00+00:00,20161021_1130,rrc05,18,0.2028248587570621,0.5476923076923077,0.7051282051282052,23.2,4.8652329540494135,11,2.1542910447761194,7,21,151,7047,0.022319,0.847981,2,0.240098,9,0.5144689276743672,0.2454,0.467322,0.9601345052392122,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:35:00+00:00,20161021_1135,rrc05,18,0.2028248587570621,0.5476923076923077,0.7051282051282052,23.2,4.942449503045848,9,1.9659504734158777,7,19,184,605,1.1e-05,0.806638,0,0.240098,8,0.5144689276743672,0.2454,0.467322,1.3143391774574875,6,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:40:00+00:00,20161021_1140,rrc05,17,0.2022598870056497,0.5446153846153846,0.6923076923076923,23.2,4.815063887020847,10,2.090689462925107,8,19,154,661,0.005695,0.812144,0,0.240197,10,0.5121234794809411,0.2444,0.467322,1.245848682594778,5,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:45:00+00:00,20161021_1145,rrc05,17,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,5.379933326164104,10,1.926850048685492,8,23,456,537,0.008037,0.757031,0,0.240137,9,0.5112650586093368,0.2433,0.467322,1.3632824333893625,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:50:00+00:00,20161021_1150,rrc05,18,0.2022598870056497,0.5446153846153846,0.7051282051282052,23.2,4.624373956594324,9,1.9190972961464765,6,21,152,619,0.00529,0.801529,0,0.240037,10,0.5136162802985614,0.2444,0.467322,1.0856080999084896,6,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T11:55:00+00:00,20161021_1155,rrc05,17,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,4.574798829553767,9,2.012111087909793,7,18,146,503,0.006599,0.782938,0,0.240137,7,0.5112650586093368,0.2433,0.467322,1.1773739802754952,6,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T12:00:00+00:00,20161021_1200,rrc05,17,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,4.7372790161414295,11,2.060380039069437,8,20,180,743,-0.006956,0.748955,0,0.240137,8,0.5112650586093368,0.2433,0.467322,1.270345484684799,4,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T12:05:00+00:00,20161021_1205,rrc05,17,0.2022598870056497,0.5446153846153846,0.6923076923076923,23.2,5.729932440169472,10,1.7874604915177708,7,20,931,617,-0.001017,0.805232,0,0.240197,8,0.5121234794809411,0.2444,0.467322,1.3115158930052897,7,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T12:10:00+00:00,20161021_1210,rrc05,17,0.2022598870056497,0.5415384615384615,0.6923076923076923,23.2,4.399255085012213,10,1.9231675953707672,8,21,389,8040,0.011273,0.899209,0,0.240176,7,0.5109474793984772,0.2444,0.467322,1.1487691298218936,10,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T12:15:00+00:00,20161021_1215,rrc05,17,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,5.632198871737648,10,1.7118502539837173,7,23,813,527,2.1e-05,0.805932,0,0.239804,7,0.5112730668031849,0.243,0.467322,1.319622424018586,3,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T12:20:00+00:00,20161021_1220,rrc05,18,0.2022598870056497,0.5446153846153846,0.7051282051282052,23.2,4.866651319386492,11,1.9726962457337884,7,19,173,6966,0.01488,0.849633,2,0.240037,9,0.5136162802985614,0.2444,0.467322,0.9553795014395322,5,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T12:25:00+00:00,20161021_1225,rrc05,17,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,4.702675916749257,10,1.905824508320726,6,21,223,598,0.009155,0.787372,0,0.239804,7,0.5112730668031849,0.243,0.467322,1.2533659719852344,6,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
2016-10-21T12:30:00+00:00,20161021_1230,rrc05,17,0.2016949152542373,0.5415384615384615,0.6923076923076923,23.2,3.851937206843261,9,1.8873967305326067,7,20,192,7931,0.005978,0.909853,0,0.240137,9,0.5112650586093368,0.2433,0.467322,1.0423288649887097,7,high_confidence_anomaly,hist_dyn_dns_attack_2016_rrc05_as3352,1,historical,dos_attack
